"","Country","CPC_Class","y13","y14","y15","y16","y17","y18"
"485","Iran (Islamic Rep. of)","Other fish, live, fresh or chilled",0,430.5,8627.5,35567,49175,87600
"486","Iran (Islamic Rep. of)","Other shrimps and prawns, live, fresh or chilled",76188,134850,106770,127986,193992,287154
"487","Iran (Islamic Rep. of)","Other shrimps and prawns, live, fresh or chilled",504,144,88,88,128,96
"488","Iran (Islamic Rep. of)","Salmonidae, live, fresh or chilled",0,0,0,0,0,25200
"489","Iran (Islamic Rep. of)","Salmonidae, live, fresh or chilled",431751,379545,421896,489975,503490,693536
"490","Iraq","Freshwater fish, live, fresh or chilled",79610,159218,141718,180177.5,170702,135553.5
"491","Iraq","Other fish, live, fresh or chilled",3000,0,800,0,0,0
"492","Ireland","Abalone, live, fresh or chilled",136.15,0,0,0,0,0
"493","Ireland","Clams, cockles and ark shells, live, fresh or chilled",106.25,0,0,0,0,0
"494","Ireland","Flatfish, live, fresh or chilled",0,0,0,0,0,0
"495","Ireland","Freshwater fish, live, fresh or chilled",301.75,725.36,295.07,116.22,0,0
"496","Ireland","Mussels, live, fresh or chilled",19787.9,17982.13,14037.39,13540.62,16797.68,14105.96
"497","Ireland","Other aquatic invertebrates, live, fresh or chilled, n.e.c.",0,219.2,191.41,114.81,29.89,362.19
"498","Ireland","Other fish, live, fresh or chilled",0,0,0,0,0,0
"499","Ireland","Other molluscs, live, fresh or chilled",0,0,0,0,0,0
"500","Ireland","Oysters, live, fresh or chilled",53010.18,55990.16,41945.69,39185.71,50151.66,53961.19
"501","Ireland","Salmonidae, live, fresh or chilled",3224.14,3434.97,2735.18,2138.2,2229.26,1881.28
"502","Ireland","Salmonidae, live, fresh or chilled",75392.13,76660.36,99683.74,115652.56,150846.06,135298.46
"503","Ireland","Scallops, live, fresh or chilled",257.5,176.51,259.07,175.33,0,0
"504","Ireland","Sea urchins, live, fresh or chilled",9.96,0,0,0,0,0
"505","Ireland","Seaweeds and other algae, fresh, frozen or dried, whether or not ground",55.12,132.85,77.67,55.34,46.32,47.24
"506","Israel","Freshwater fish, live, fresh or chilled",52519.14,50842.74,44607.46,48594.44,39669.07,40068.47
"507","Israel","Freshwater fish, live, fresh or chilled",0,0,0,0,0,0
"508","Israel","Other fish, live, fresh or chilled",6171.57,4798.7,3324.37,3505.89,3521.27,3530.09
"509","Israel","Other fish, live, fresh or chilled",14957.19,15797.78,14677.68,14521.14,15706.98,15735.81
"510","Israel","Other fish, live, fresh or chilled",24295.49,23170.83,15089.4,17166.61,19252.38,19300.62
